rank	score	disease_name	disease_identifier
1	0.17885267734527588	OMIM:158590	OMIM:158590
2	0.1860317587852478	OMIM:159580	OMIM:159580
3	0.18915939331054688	ORPHA:45448	ORPHA:45448
4	0.18925786018371582	ORPHA:363454	ORPHA:363454
5	0.18936246633529663	ORPHA:63273	ORPHA:63273
6	0.1908016800880432	ORPHA:98856	ORPHA:98856
7	0.19103872776031494	ORPHA:399081	ORPHA:399081
8	0.19194716215133667	ORPHA:482601	ORPHA:482601
9	0.19334173202514648	ORPHA:401780	ORPHA:401780
10	0.1933547854423523	OMIM:607791	OMIM:607791
